email,gender,city,state,last,phone,registered,username,dob,current_ts
ariana.wood@example.com,female,timaru,manawatu-wanganui,wood,(654)-702-5055,929220252,bigtiger820,306517802,2023-01-28T17:12:20.221+05:30
george.harris@example.com,male,timaru,canterbury,harris,(675)-932-8465,1433511035,organicleopard664,1083091064,2023-01-28T17:12:20.221+05:30
oliver.walker@example.com,male,auckland,manawatu-wanganui,walker,(300)-675-3201,1212039646,beautifullion577,1432793902,2023-01-28T17:12:20.221+05:30
noah.edwards@example.com,male,dunedin,otago,edwards,(559)-156-2166,1425836350,smallswan466,1022718624,2023-01-28T17:12:20.221+05:30
sebastian.patel@example.com,male,timaru,gisborne,patel,(697)-866-7752,1114577240,goldenkoala913,465584961,2023-01-28T17:12:20.221+05:30
harry.smith@example.com,male,gisborne,canterbury,smith,(812)-723-9420,1337130355,purplebear350,1121217126,2023-01-28T17:12:20.221+05:30
thomas.li@example.com,male,auckland,wellington,li,(428)-963-3784,1320444588,yellowsnake176,1341009788,2023-01-28T17:12:20.221+05:30
sebastian.wood@example.com,male,wellington,manawatu-wanganui,wood,(893)-185-4953,1339207241,tinymeercat669,50646957,2023-01-28T17:12:20.221+05:30
kayla.lewis@example.com,female,timaru,hawke's bay,lewis,(736)-150-1420,1339000641,blackostrich309,560741611,2023-01-28T17:12:20.221+05:30
marcus.cooper@example.com,male,masterton,bay of plenty,cooper,(381)-100-5006,1002951512,lazygoose666,343775784,2023-01-28T17:12:20.221+05:30
alexandra.smith@example.com,female,nelson,marlborough,smith,(314)-473-5451,1168968305,bigswan230,1212900668,2023-01-28T17:12:20.221+05:30
archie.wood@example.com,male,dunedin,wellington,wood,(164)-547-4543,1424878259,organicmouse112,612801902,2023-01-28T17:12:20.221+05:30
hudson.thomas@example.com,male,taupo,manawatu-wanganui,thomas,(955)-310-3023,1294538934,smallkoala547,147282511,2023-01-28T17:12:20.221+05:30
oscar.morris@example.com,male,new plymouth,bay of plenty,morris,(691)-726-2206,1259022939,yellowbird836,556147786,2023-01-28T17:12:20.221+05:30
anna.thompson@example.com,female,napier,southland,thompson,(093)-094-2421,998464417,brownkoala210,715777995,2023-01-28T17:12:20.221+05:30
connor.white@example.com,male,hastings,southland,white,(709)-947-3795,1297725321,redmeercat144,1338277584,2023-01-28T17:12:20.221+05:30
isabel.wang@example.com,female,blenheim,hawke's bay,wang,(330)-252-6195,935643539,lazylion752,667424749,2023-01-28T17:12:20.221+05:30
archer.lee@example.com,male,napier,waikato,lee,(233)-732-6392,1348345625,blackbutterfly343,640814035,2023-01-28T17:12:20.221+05:30
holly.patel@example.com,female,greymouth,taranaki,patel,(844)-950-3232,1372634061,heavymouse637,340959532,2023-01-28T17:12:20.221+05:30
caleb.king@example.com,male,lower hutt,tasman,king,(349)-938-0845,960142671,lazygorilla137,869697564,2023-01-28T17:12:20.221+05:30
lewis.walker@example.com,male,whangarei,northland,walker,(133)-017-1836,1368501690,brownkoala298,321482881,2023-01-28T17:12:20.221+05:30
lewis.williams@example.com,male,new plymouth,wellington,williams,(679)-220-6457,1221238454,silverswan922,1282092405,2023-01-28T17:12:20.221+05:30
eli.walker@example.com,male,hastings,hawke's bay,walker,(046)-068-2148,1190542309,organiclion299,4325166,2023-01-28T17:12:20.221+05:30
asher.thompson@example.com,male,new plymouth,bay of plenty,thompson,(538)-750-3932,1096291227,tinybear532,205306851,2023-01-28T17:12:20.221+05:30
