email,gender,city,state,last,phone,registered,username,dob,current_ts
alírio.lima@example.com,male,caucaia,mato grosso,lima,(23) 8264-3517,1328523005,beautifulmeercat783,401492167,2023-04-03T05:28:07.302+05:30
orêncio.ferreira@example.com,male,caucaia,roraima,ferreira,(82) 2140-8397,1215090667,goldendog369,618001753,2023-04-03T05:28:07.302+05:30
cirlei.ferreira@example.com,female,cubatão,pernambuco,ferreira,(39) 0963-3084,1109237097,heavybutterfly251,689368959,2023-04-03T05:28:07.302+05:30
mar.martins@example.com,male,araraquara,ceará,martins,(33) 9045-3037,1341417896,blackelephant108,1428602117,2023-04-03T05:28:07.302+05:30
ezequiel.pereira@example.com,male,são lourenço da mata,mato grosso,pereira,(65) 4148-9411,1088048980,lazylion346,1394387439,2023-04-03T05:28:07.302+05:30
regino.cavalcanti@example.com,male,macaé,acre,cavalcanti,(49) 3837-3144,1164870519,beautifuldog950,1252618798,2023-04-03T05:28:07.302+05:30
felisberta.das neves@example.com,female,votorantim,rio grande do norte,das neves,(52) 1093-5857,1106090322,tinybird697,1420738651,2023-04-03T05:28:07.302+05:30
eloísa.caldeira@example.com,female,trindade,ceará,caldeira,(95) 5145-3474,1257629917,goldenfrog629,657187706,2023-04-03T05:28:07.302+05:30
charlene.barbosa@example.com,female,guarapuava,paraná,barbosa,(04) 4460-9199,1104178924,bluelion517,529065823,2023-04-03T05:28:07.302+05:30
carlos.de souza@example.com,male,bacabal,sergipe,de souza,(48) 9397-2444,1041467883,smallbutterfly388,748548437,2023-04-03T05:28:07.302+05:30
saladino.rodrigues@example.com,male,franco da rocha,sergipe,rodrigues,(53) 2874-0926,953119822,bigduck144,147414383,2023-04-03T05:28:07.302+05:30
cássio.araújo@example.com,male,bento gonçalves,santa catarina,araújo,(58) 1287-0076,1084742953,tinyladybug195,246066867,2023-04-03T05:28:07.302+05:30
lurdes.de souza@example.com,female,aparecida de goiânia,sergipe,de souza,(47) 4973-7798,1290917989,goldencat263,78688219,2023-04-03T05:28:07.302+05:30
aliciane.pereira@example.com,female,cachoeiro de itapemirim,pernambuco,pereira,(47) 8499-3985,1141940149,tinybutterfly288,1280893137,2023-04-03T05:28:07.302+05:30
neiva.nogueira@example.com,female,natal,rio grande do norte,nogueira,(38) 8381-3378,964136595,greenpanda430,438727958,2023-04-03T05:28:07.302+05:30
